split,threshold_minutes,group_column,group_value,row_count,actual_severe_delay_rate,mean_predicted_severe_delay_probability,probability_calibration_gap,false_negative_rate
test,30,Route,937,159,0.025157232704402517,0.03872636658924408,0.013569133884841565,0.25
test,30,Route,952,240,0.025,0.05500822254010315,0.03000822254010315,0.0
test,30,Route,22,161,0.024844720496894408,0.04408800968848257,0.01924328919158816,0.25
test,30,Route,86,714,0.023809523809523808,0.029425108940953574,0.005615585131429766,0.47058823529411764
test,30,Route,995,280,0.02142857142857143,0.04265624640476219,0.021227674976190762,0.0
test,30,Route,Unknown,896,0.017857142857142856,0.025039305610334794,0.007182162753191938,0.375
test,30,Route,902,239,0.016736401673640166,0.03450279994809285,0.017766398274452682,0.0
test,30,Route,44,374,0.016042780748663103,0.022050415408513626,0.006007634659850523,0.3333333333333333
test,30,Route,986,151,0.013245033112582781,0.014590139505422517,0.0013451063928397351,0.0
test,30,Route,945,174,0.011494252873563218,0.028714975529489453,0.017220722655926234,0.0
test,30,Route,900,401,0.00997506234413965,0.028431451680287285,0.018456389336147634,0.0
test,30,Route,999,250,0.0,0.021721480923704746,0.021721480923704746,
test,30,hour,3,950,0.29473684210526313,0.3268912259827515,0.03215438387748837,0.21785714285714286
test,30,hour,2,1317,0.28170083523158695,0.3002210394684409,0.018520204236853965,0.2668463611859838
test,30,hour,4,1247,0.22614274258219727,0.28843661360278333,0.06229387102058606,0.2907801418439716
test,30,hour,23,2072,0.16216216216216217,0.18106498239949817,0.018902820237336,0.16964285714285715
test,30,hour,22,2412,0.14220563847429518,0.1839982434183631,0.04179260494406792,0.20116618075801748
test,30,hour,1,1371,0.13347921225382933,0.18241827604432206,0.04893906379049273,0.32786885245901637
test,30,hour,0,1672,0.12440191387559808,0.17465444841980823,0.05025253454421015,0.14903846153846154
test,30,hour,21,2797,0.11190561315695388,0.13647475252963512,0.024569139372681237,0.29073482428115016
test,30,hour,20,3220,0.10372670807453416,0.1307452833140413,0.027018575239507153,0.23353293413173654
test,30,hour,19,3375,0.10192592592592592,0.10997256875990162,0.0080466428339757,0.2819767441860465
test,30,hour,5,2818,0.10007097232079488,0.12027384139262956,0.020202869071834675,0.4716312056737589
test,30,hour,6,3209,0.0969149267684637,0.09832416831828586,0.0014092415498221655,0.3408360128617363
test,30,hour,9,3220,0.09658385093167701,0.09535644741234314,-0.0012274035193338695,0.3536977491961415
test,30,hour,10,3205,0.08985959438377535,0.09536863534773773,0.005509040963962389,0.3402777777777778
test,30,hour,11,3105,0.08727858293075684,0.09725814945140966,0.009979566520652822,0.3247232472324723
test,30,hour,17,4845,0.08648090815273478,0.096450604437884,0.009969696285149224,0.2553699284009546
test,30,hour,12,3319,0.08496535100934016,0.09075852416313476,0.005793173153794601,0.3191489361702128
test,30,hour,8,3121,0.08394745273950657,0.08969174874039319,0.00574429600088662,0.3511450381679389
test,30,hour,13,3753,0.08180122568611778,0.09831712952133313,0.016515903835215354,0.28013029315960913
test,30,hour,18,4194,0.08082975679542204,0.09426898543239275,0.01343922863697071,0.30383480825958703
test,30,hour,7,3040,0.07960526315789473,0.08929466114220157,0.009689397984306833,0.2975206611570248
test,30,hour,15,5039,0.07739630879142687,0.0947395741108673,0.01734326531944043,0.3
test,30,hour,14,4718,0.07333615938957186,0.09176355164196857,0.018427392252396715,0.2832369942196532
test,30,hour,16,5115,0.06959921798631476,0.09400938936520112,0.02441017137888636,0.25280898876404495
test,30,mode,streetcar,14146,0.11155096847165276,0.1286640258566806,0.017113057385027844,0.45310519645120406
test,30,mode,bus,58988,0.09869804027937885,0.11570320736172865,0.017005167082349795,0.2404671934043284
validation,30,Direction,B,68,0.45588235294117646,0.5600740355165565,0.10419168257538008,0.06451612903225806
validation,30,Direction,Unknown,11633,0.10925814493251956,0.12926014682073408,0.02000200188821452,0.23288749016522423
validation,30,Direction,E,15655,0.1043755988502076,0.11393108059149751,0.009555481741289909,0.32313341493268055
validation,30,Direction,N,14328,0.10106085985482971,0.11196098378749932,0.010900123932669606,0.27002762430939226
validation,30,Direction,W,14785,0.10084545147108556,0.11181412679851896,0.010968675327433397,0.32193158953722334
validation,30,Direction,S,13594,0.09754303369133441,0.10869320223456097,0.011150168543226563,0.26772247360482654
validation,30,Incident,Diversion,4623,0.5678131083711876,0.6552247923031117,0.08741168393192411,0.0
